action,title,description,sku,price,quantity,type,who_made,when_made,is_made_to_order,is_vintage,is_supply,is_taxable,is_customizable,is_personalizable,personalization_instructions,personalization_char_count_max,personalization_is_required,auto_renew,listing_state,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12,tag_13,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,image_10,digital_file_1,digital_file_2,digital_file_3
create,Personalized Santa Video Message | Toddler Santa | Custom Audio for toddlers 2_4,"Create a Christmas moment they'll talk about for years! Santa's personalized message acknowledges your child's unique accomplishments and sweet personality.

HOW IT WORKS:
1. Purchase this listing
2. Fill out the personalization form with your child's details
3. We create a custom message from Santa using professional voice technology
4. Receive your audio file within 24-48 hours
5. Play it for your child on Christmas Eve, Christmas morning, or anytime!

WHAT YOU RECEIVE:
- One personalized audio message from Santa (MP3 format)
- Approximately 60-90 seconds of magical content
- Professional Santa voice recording
- Digital delivery - save and play forever!
- Can be played on any device

PERFECT FOR:
- Children who believe in Santa's magic
- Creating special Christmas Eve traditions
- Long-distance grandparents to send to grandchildren
- Families wanting to make Christmas extra special
- Keepsake memories to treasure for years

Please provide accurate information in the personalization form so Santa can create the most magical message possible. Digital delivery within 24-48 hours. Questions? Reach out anytime!",santa_message-santa_toddler_2_4-0,9.99,999,digital,i_did,2020_2025,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"Please provide: 1) Child's name, 2) Age, 3) 2-3 good things they did this year",1000,FALSE,TRUE,draft,baby santa,christmas gift,custom santa,first santa,little one santa,north pole message,personalized santa,santa 2 year old,santa 3 year old,santa audio,santa letter,santa message,toddler christmas,,,,,,,,,,,,,
create,Santa Claus Personal Message | magic | children 5_7 Gift,"Imagine your child's face lighting up when they hear Santa say their name! Create Christmas magic with a personalized message from the North Pole.

HOW IT WORKS:
1. Purchase this listing
2. Fill out the personalization form with your child's details
3. We create a custom message from Santa using professional voice technology
4. Receive your audio file within 24-48 hours
5. Play it for your child on Christmas Eve, Christmas morning, or anytime!

WHAT YOU RECEIVE:
- One personalized audio message from Santa (MP3 format)
- Approximately 60-90 seconds of magical content
- Professional Santa voice recording
- Digital delivery - save and play forever!
- Can be played on any device

PERFECT FOR:
- Children who believe in Santa's magic
- Creating special Christmas Eve traditions
- Long-distance grandparents to send to grandchildren
- Families wanting to make Christmas extra special
- Keepsake memories to treasure for years

Please provide accurate information in the personalization form so Santa can create the most magical message possible. Digital delivery within 24-48 hours. Questions? Reach out anytime!",santa_message-santa_early_childhood_5_7-0,9.99,999,digital,i_did,2020_2025,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"Please provide: 1) Child's name, 2) Age, 3) 2-3 good things they did this year",1000,FALSE,TRUE,draft,christmas gift,custom santa,north pole message,personalized santa,santa 5 year old,santa 6 year old,santa audio,santa audio kids,santa call,santa for child,santa letter,santa message,santa message kids,,,,,,,,,,,,,
create,Custom Santa Recording | Kids 8-10 Santa | encouragement | Digital Keepsake,"Create a Christmas moment they'll talk about for years! Santa's personalized message acknowledges your child's unique accomplishments and sweet personality.

HOW IT WORKS:
1. Purchase this listing
2. Fill out the personalization form with your child's details
3. We create a custom message from Santa using professional voice technology
4. Receive your audio file within 24-48 hours
5. Play it for your child on Christmas Eve, Christmas morning, or anytime!

WHAT YOU RECEIVE:
- One personalized audio message from Santa (MP3 format)
- Approximately 60-90 seconds of magical content
- Professional Santa voice recording
- Digital delivery - save and play forever!
- Can be played on any device

PERFECT FOR:
- Children who believe in Santa's magic
- Creating special Christmas Eve traditions
- Long-distance grandparents to send to grandchildren
- Families wanting to make Christmas extra special
- Keepsake memories to treasure for years

Please provide accurate information in the personalization form so Santa can create the most magical message possible. Digital delivery within 24-48 hours. Questions? Reach out anytime!",santa_message-santa_kids_8_10-0,9.99,999,digital,i_did,2020_2025,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"Please provide: 1) Child's name, 2) Age, 3) 2-3 good things they did this year",1000,FALSE,TRUE,draft,christmas gift,christmas gift kids,custom santa,north pole message,personalized santa,santa 10 year old,santa 8 year old,santa 9 year old,santa audio,santa audio child,santa call older,santa letter,santa message,,,,,,,,,,,,,
create,Santa Claus Personal Message | acknowledgment | preteens 11_12 Gift,"Make this Christmas truly special with a one-of-a-kind audio message from Santa himself. Personalized with your child's name, achievements, and more!

HOW IT WORKS:
1. Purchase this listing
2. Fill out the personalization form with your child's details
3. We create a custom message from Santa using professional voice technology
4. Receive your audio file within 24-48 hours
5. Play it for your child on Christmas Eve, Christmas morning, or anytime!

WHAT YOU RECEIVE:
- One personalized audio message from Santa (MP3 format)
- Approximately 60-90 seconds of magical content
- Professional Santa voice recording
- Digital delivery - save and play forever!
- Can be played on any device

PERFECT FOR:
- Children who believe in Santa's magic
- Creating special Christmas Eve traditions
- Long-distance grandparents to send to grandchildren
- Families wanting to make Christmas extra special
- Keepsake memories to treasure for years

Please provide accurate information in the personalization form so Santa can create the most magical message possible. Digital delivery within 24-48 hours. Questions? Reach out anytime!",santa_message-santa_preteen_11_12-0,9.99,999,digital,i_did,2020_2025,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"Please provide: 1) Child's name, 2) Age, 3) 2-3 good things they did this year",1000,FALSE,TRUE,draft,christmas gift,christmas preteen,custom santa,older kid santa,personalized santa,santa 11 year old,santa 12 year old,santa audio,santa doubter,santa letter,santa message,santa preteen,tween santa,,,,,,,,,,,,,
create,Custom Santa Letter Audio | Still believes Santa | Personalized for older believers,"Make this Christmas truly special with a one-of-a-kind audio message from Santa himself. Personalized with your child's name, achievements, and more!

HOW IT WORKS:
1. Purchase this listing
2. Fill out the personalization form with your child's details
3. We create a custom message from Santa using professional voice technology
4. Receive your audio file within 24-48 hours
5. Play it for your child on Christmas Eve, Christmas morning, or anytime!

WHAT YOU RECEIVE:
- One personalized audio message from Santa (MP3 format)
- Approximately 60-90 seconds of magical content
- Professional Santa voice recording
- Digital delivery - save and play forever!
- Can be played on any device

PERFECT FOR:
- Children who believe in Santa's magic
- Creating special Christmas Eve traditions
- Long-distance grandparents to send to grandchildren
- Families wanting to make Christmas extra special
- Keepsake memories to treasure for years

Please provide accurate information in the personalization form so Santa can create the most magical message possible. Digital delivery within 24-48 hours. Questions? Reach out anytime!",santa_message-santa_older_child_still_believes-0,9.99,999,digital,i_did,2020_2025,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"Please provide: 1) Child's name, 2) Age, 3) 2-3 good things they did this year",1000,FALSE,TRUE,draft,believing in santa,christmas gift,christmas magic,custom santa,north pole message,personalized santa,preserve santa magic,santa audio,santa believer,santa for believer,santa letter,santa magic,santa message,,,,,,,,,,,,,
create,Custom Santa Recording | First Christmas | precious | Digital Keepsake,"Create a Christmas moment they'll talk about for years! Santa's personalized message acknowledges your child's unique accomplishments and sweet personality.

HOW IT WORKS:
1. Purchase this listing
2. Fill out the personalization form with your child's details
3. We create a custom message from Santa using professional voice technology
4. Receive your audio file within 24-48 hours
5. Play it for your child on Christmas Eve, Christmas morning, or anytime!

WHAT YOU RECEIVE:
- One personalized audio message from Santa (MP3 format)
- Approximately 60-90 seconds of magical content
- Professional Santa voice recording
- Digital delivery - save and play forever!
- Can be played on any device

PERFECT FOR:
- Children who believe in Santa's magic
- Creating special Christmas Eve traditions
- Long-distance grandparents to send to grandchildren
- Families wanting to make Christmas extra special
- Keepsake memories to treasure for years

Please provide accurate information in the personalization form so Santa can create the most magical message possible. Digital delivery within 24-48 hours. Questions? Reach out anytime!",santa_message-santa_first_christmas_baby-0,9.99,999,digital,i_did,2020_2025,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"Please provide: 1) Child's name, 2) Age, 3) 2-3 good things they did this year",1000,FALSE,TRUE,draft,baby christmas gift,baby first christmas,christmas gift,custom santa,infant christmas,newborn christmas,north pole message,personalized santa,santa audio,santa baby,santa for baby,santa letter,santa message,,,,,,,,,,,,,
create,Santa Claus Personal Message | belonging | blended families Gift,"Make this Christmas truly special with a one-of-a-kind audio message from Santa himself. Personalized with your child's name, achievements, and more!

HOW IT WORKS:
1. Purchase this listing
2. Fill out the personalization form with your child's details
3. We create a custom message from Santa using professional voice technology
4. Receive your audio file within 24-48 hours
5. Play it for your child on Christmas Eve, Christmas morning, or anytime!

WHAT YOU RECEIVE:
- One personalized audio message from Santa (MP3 format)
- Approximately 60-90 seconds of magical content
- Professional Santa voice recording
- Digital delivery - save and play forever!
- Can be played on any device

PERFECT FOR:
- Children who believe in Santa's magic
- Creating special Christmas Eve traditions
- Long-distance grandparents to send to grandchildren
- Families wanting to make Christmas extra special
- Keepsake memories to treasure for years

Please provide accurate information in the personalization form so Santa can create the most magical message possible. Digital delivery within 24-48 hours. Questions? Reach out anytime!",santa_message-santa_first_christmas_blended_family-0,9.99,999,digital,i_did,2020_2025,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"Please provide: 1) Child's name, 2) Age, 3) 2-3 good things they did this year",1000,FALSE,TRUE,draft,blended family gift,christmas gift,custom santa,new family christmas,new family santa,north pole message,personalized santa,santa audio,santa letter,santa message,step family santa,step kids christmas,stepparent christmas,,,,,,,,,,,,,
create,Custom Santa Letter Audio | Grieving child Santa | Personalized for grieving children,"Make this Christmas truly special with a one-of-a-kind audio message from Santa himself. Personalized with your child's name, achievements, and more!

HOW IT WORKS:
1. Purchase this listing
2. Fill out the personalization form with your child's details
3. We create a custom message from Santa using professional voice technology
4. Receive your audio file within 24-48 hours
5. Play it for your child on Christmas Eve, Christmas morning, or anytime!

WHAT YOU RECEIVE:
- One personalized audio message from Santa (MP3 format)
- Approximately 60-90 seconds of magical content
- Professional Santa voice recording
- Digital delivery - save and play forever!
- Can be played on any device

PERFECT FOR:
- Children who believe in Santa's magic
- Creating special Christmas Eve traditions
- Long-distance grandparents to send to grandchildren
- Families wanting to make Christmas extra special
- Keepsake memories to treasure for years

Please provide accurate information in the personalization form so Santa can create the most magical message possible. Digital delivery within 24-48 hours. Questions? Reach out anytime!",santa_message-santa_child_lost_loved_one-0,9.99,999,digital,i_did,2020_2025,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"Please provide: 1) Child's name, 2) Age, 3) 2-3 good things they did this year",1000,FALSE,TRUE,draft,christmas after loss,christmas gift,christmas loss,custom santa,lost loved one santa,memorial christmas,north pole message,personalized santa,santa audio,santa claus,santa grief,santa letter,santa message,,,,,,,,,,,,,
create,Personalized Santa Video Message | New school Santa | Custom Audio for new school_kids,"Make this Christmas truly special with a one-of-a-kind audio message from Santa himself. Personalized with your child's name, achievements, and more!

HOW IT WORKS:
1. Purchase this listing
2. Fill out the personalization form with your child's details
3. We create a custom message from Santa using professional voice technology
4. Receive your audio file within 24-48 hours
5. Play it for your child on Christmas Eve, Christmas morning, or anytime!

WHAT YOU RECEIVE:
- One personalized audio message from Santa (MP3 format)
- Approximately 60-90 seconds of magical content
- Professional Santa voice recording
- Digital delivery - save and play forever!
- Can be played on any device

PERFECT FOR:
- Children who believe in Santa's magic
- Creating special Christmas Eve traditions
- Long-distance grandparents to send to grandchildren
- Families wanting to make Christmas extra special
- Keepsake memories to treasure for years

Please provide accurate information in the personalization form so Santa can create the most magical message possible. Digital delivery within 24-48 hours. Questions? Reach out anytime!",santa_message-santa_child_moved_new_school-0,9.99,999,digital,i_did,2020_2025,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"Please provide: 1) Child's name, 2) Age, 3) 2-3 good things they did this year",1000,FALSE,TRUE,draft,adjusting santa,child new school,christmas gift,custom santa,new kid santa,new school christmas,north pole message,personalized santa,santa audio,santa letter,santa message,school transition,starting new school,,,,,,,,,,,,,
create,Santa Claus Personal Message | pride | new siblings Gift,"Imagine your child's face lighting up when they hear Santa say their name! Create Christmas magic with a personalized message from the North Pole.

HOW IT WORKS:
1. Purchase this listing
2. Fill out the personalization form with your child's details
3. We create a custom message from Santa using professional voice technology
4. Receive your audio file within 24-48 hours
5. Play it for your child on Christmas Eve, Christmas morning, or anytime!

WHAT YOU RECEIVE:
- One personalized audio message from Santa (MP3 format)
- Approximately 60-90 seconds of magical content
- Professional Santa voice recording
- Digital delivery - save and play forever!
- Can be played on any device

PERFECT FOR:
- Children who believe in Santa's magic
- Creating special Christmas Eve traditions
- Long-distance grandparents to send to grandchildren
- Families wanting to make Christmas extra special
- Keepsake memories to treasure for years

Please provide accurate information in the personalization form so Santa can create the most magical message possible. Digital delivery within 24-48 hours. Questions? Reach out anytime!",santa_message-santa_child_with_new_sibling-0,9.99,999,digital,i_did,2020_2025,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"Please provide: 1) Child's name, 2) Age, 3) 2-3 good things they did this year",1000,FALSE,TRUE,draft,big brother santa,big sister santa,christmas gift,custom santa,new baby brother,new baby sibling,new baby sister,older sibling gift,personalized santa,santa audio,santa letter,santa message,sibling christmas,,,,,,,,,,,,,
